dataset,attack,poison_rate,defense,clean_acc,clean_acc_std,asr,det_precision,det_recall,det_f1,fit_time_sec
spambase,backdoor,0.05,hybrid,0.9048136083966702,0.021063314552227968,0.474910394265233,0.05883236000084851,0.6159420289855072,0.10716272833919893,0.9100896517435709
spambase,backdoor,0.05,none,0.9048136083966702,0.01497951653027498,0.6391875746714456,0.0,0.0,0.0,0.010970751444498697
spambase,backdoor,0.05,roni,0.9015562794064422,0.01525248462229858,0.6427718040621266,0.044982710253479406,0.41545893719806765,0.08092326970462464,0.7109374205271403
spambase,backdoor,0.05,trimmed_loss,0.912775968150561,0.011710958876122652,0.5663082437275986,0.12873563218390804,0.13526570048309178,0.1319199057714959,0.06246193250020345
spambase,backdoor,0.1,anomaly_iforest,0.9001085776330076,0.012801114139578285,0.6344086021505376,0.2262295081967213,0.25,0.23752151462994833,0.22458434104919434
spambase,backdoor,0.1,anomaly_lof,0.9073470865001809,0.010712014901881105,0.5824372759856631,0.24586896138554545,0.2705314009661836,0.2576087961651011,0.05967092514038086
spambase,backdoor,0.1,hybrid,0.8997466521896489,0.013044387470821648,0.7072879330943848,0.1043217163261569,0.6159420289855072,0.17808869954332304,0.9153650601704916
spambase,backdoor,0.1,none,0.8881650380021715,0.011019426237885151,0.8285543608124254,0.0,0.0,0.0,0.011567513147989908
spambase,backdoor,0.1,roni,0.8990228013029316,0.008618082446464469,0.7915173237753882,0.09465485699656918,0.40942028985507245,0.15254001797953068,0.8818305333455404
spambase,backdoor,0.1,trimmed_loss,0.8975750995294969,0.008776225590287475,0.8757467144563919,0.058114035087719305,0.06400966183574879,0.06091954022988506,0.04581371943155924
spambase,backdoor,0.2,anomaly_iforest,0.9022801302931596,0.010470847731805602,0.7401433691756272,0.232891932820847,0.27958937198067635,0.2541130794593483,0.22804649670918783
spambase,backdoor,0.2,anomaly_lof,0.8968512486427795,0.007600434310532034,0.7281959378733572,0.33936651583710403,0.4076086956521739,0.3703703703703704,0.06328121821085612
spambase,backdoor,0.2,hybrid,0.8997466521896489,0.007229455068924426,0.7956989247311829,0.1717236776287299,0.6328502415458938,0.2699300385584453,0.8601037661234537
spambase,backdoor,0.2,none,0.8849077090119435,0.01035764605230126,0.9366786140979689,0.0,0.0,0.0,0.012970844904581705
spambase,backdoor,0.2,roni,0.8841838581252262,0.015213789038714216,0.9348864994026284,0.1635395985390298,0.45350241545893716,0.23996411873621007,0.9196465810139974
spambase,backdoor,0.2,trimmed_loss,0.8653637350705755,0.004732789298089767,0.9790919952210274,0.028700906344410877,0.034420289855072464,0.03130148270181219,0.038070996602376304
spambase,feature_collision,0.05,anomaly_iforest,0.9178429243575823,0.008433717117431088,0.056152927120669056,0.3538812785388128,0.37439613526570054,0.363849765258216,0.24967741966247559
spambase,feature_collision,0.05,anomaly_lof,0.919290626131017,0.009852086564470652,0.05077658303464755,0.013777357896394268,0.014492753623188406,0.014125980855687718,0.05477825800577799
spambase,feature_collision,0.05,hybrid,0.9178429243575823,0.0033171014802430994,0.06810035842293906,0.07664321803010259,0.6932367149758454,0.13757393337600857,0.8864690462748209
spambase,feature_collision,0.05,none,0.9207383279044516,0.005745388297642979,0.05077658303464755,0.0,0.0,0.0,0.008819500605265299
spambase,feature_collision,0.05,roni,0.9153094462540716,0.013862264207170153,0.07108721624850657,0.04577310556285589,0.5048309178743962,0.08393574297188755,0.5974671840667725
spambase,feature_collision,0.05,trimmed_loss,0.9207383279044516,0.007600434310532034,0.07048984468339307,0.23908045977011494,0.25120772946859904,0.24499411071849234,0.0543214480082194
spambase,feature_collision,0.1,anomaly_iforest,0.9073470865001809,0.00814935233383837,0.07825567502986858,0.3169398907103825,0.3502415458937198,0.3327596098680436,0.22494705518086752
spambase,feature_collision,0.1,anomaly_lof,0.916033297140789,0.009852086564470652,0.07467144563918758,0.035045295281665854,0.03864734299516908,0.0367580746357552,0.05453809102376302
spambase,feature_collision,0.1,hybrid,0.9091567137169743,0.009852086564470652,0.0937873357228196,0.11309699957365316,0.6678743961352657,0.1930427945372871,0.86050017674764
spambase,feature_collision,0.1,none,0.921462178791169,0.009852086564470652,0.05913978494623656,0.0,0.0,0.0,0.009863773981730143
spambase,feature_collision,0.1,roni,0.9196525515743756,0.006604519576871034,0.06511350059737157,0.09277621410620156,0.4794685990338164,0.15485386073621368,0.6930063565572103
spambase,feature_collision,0.1,trimmed_loss,0.9189287006876583,0.013488704418084859,0.06690561529271206,0.3640350877192982,0.40096618357487923,0.3816091954022989,0.04287886619567871
spambase,feature_collision,0.2,anomaly_iforest,0.8744118711545422,0.002507493025796357,0.14575866188769415,0.23568718862836513,0.2826086956521739,0.25702372706406446,0.2323168913523356
spambase,feature_collision,0.2,anomaly_lof,0.8917842924357582,0.005464954350539814,0.12126642771804062,0.06988436400201106,0.08393719806763285,0.07626886145404664,0.06371625264485677
spambase,feature_collision,0.2,hybrid,0.8621064060803475,0.007829644463548297,0.17025089605734767,0.18805175781763084,0.6473429951690821,0.28998917790431766,0.8295776844024658
spambase,feature_collision,0.2,none,0.9174809989142236,0.00819743152580972,0.07407407407407407,0.0,0.0,0.0,0.010599454243977865
spambase,feature_collision,0.2,roni,0.9058993847267462,0.005979989736466997,0.09438470728793309,0.16369561050412115,0.5157004830917874,0.24850865706387312,0.8332783381144205
spambase,feature_collision,0.2,trimmed_loss,0.9095186391603329,0.004896036648016174,0.07228195937873357,0.4642497482376637,0.5567632850241546,0.5063152114222954,0.047496954600016274
spambase,label_flip,0.05,anomaly_iforest,0.9167571480275063,0.01525248462229858,0.0832428519724937,0.2511415525114155,0.26570048309178745,0.25821596244131456,0.22759111722310385
spambase,label_flip,0.05,anomaly_lof,0.9174809989142236,0.018553754061493018,0.08251900108577637,0.18036529680365296,0.19082125603864733,0.18544600938967137,0.05435880025227865
