defense,clean_acc,fit_time_sec,keep_fraction,det_precision,det_recall,det_f1,det_roc_auc,asr,dataset,attack,poison_rate,acc_clean_no_attack,seed
none,0.9385964912280702,0.002782106399536133,1.0,0.0,0.0,0.0,0.5,0.16279069767441862,breast_cancer,targeted_flip,0.1,0.9824561403508771,2024
anomaly_iforest,0.956140350877193,0.19141721725463867,0.8986666666666666,0.2631578947368421,0.29411764705882354,0.2777777777777778,0.6060031050543385,0.11627906976744186,breast_cancer,targeted_flip,0.1,0.9824561403508771,2024
anomaly_lof,0.9473684210526315,0.0058324337005615234,0.8986666666666666,0.05263157894736842,0.058823529411764705,0.05555555555555555,0.47662584095221666,0.13953488372093023,breast_cancer,targeted_flip,0.1,0.9824561403508771,2024
roni,0.956140350877193,0.05392932891845703,0.7946666666666666,0.14285714285714285,0.3235294117647059,0.1981981981981982,0.5649905123339658,0.11627906976744186,breast_cancer,targeted_flip,0.1,0.9824561403508771,2024
trimmed_loss,0.9473684210526315,0.025360822677612305,0.9013333333333333,0.4864864864864865,0.5294117647058824,0.5070422535211268,0.7368466448162843,0.13953488372093023,breast_cancer,targeted_flip,0.1,0.9824561403508771,2024
hybrid,0.9473684210526315,0.24725794792175293,0.7466666666666667,0.17894736842105263,0.5,0.26356589147286824,0.6356304985337242,0.11627906976744186,breast_cancer,targeted_flip,0.1,0.9824561403508771,2024
none,0.8771929824561403,0.0035545825958251953,1.0,0.0,0.0,0.0,0.5,0.32558139534883723,breast_cancer,targeted_flip,0.2,0.9912280701754386,42
anomaly_iforest,0.9122807017543859,0.20032143592834473,0.7970660146699267,0.3614457831325301,0.4411764705882353,0.3973509933774834,0.6428756253234432,0.23255813953488372,breast_cancer,targeted_flip,0.2,0.9912280701754386,42
anomaly_lof,0.8771929824561403,0.007489204406738281,0.7970660146699267,0.13253012048192772,0.16176470588235295,0.1456953642384106,0.4753105054338451,0.32558139534883723,breast_cancer,targeted_flip,0.2,0.9912280701754386,42
roni,0.8947368421052632,0.06519007682800293,0.4743276283618582,0.16279069767441862,0.5147058823529411,0.24734982332155478,0.49342332240814213,0.27906976744186046,breast_cancer,targeted_flip,0.2,0.9912280701754386,42
trimmed_loss,0.8771929824561403,0.01747584342956543,0.7995110024449877,0.4146341463414634,0.5,0.4533333333333333,0.6796187683284457,0.32558139534883723,breast_cancer,targeted_flip,0.2,0.9912280701754386,42
hybrid,0.9035087719298246,0.24793577194213867,0.4278728606356968,0.2264957264957265,0.7794117647058824,0.3509933774834437,0.6243099879247886,0.2558139534883721,breast_cancer,targeted_flip,0.2,0.9912280701754386,42
none,0.9035087719298246,0.0031311511993408203,1.0,0.0,0.0,0.0,0.5,0.2558139534883721,breast_cancer,targeted_flip,0.2,0.9649122807017544,123
anomaly_iforest,0.9385964912280702,0.19824838638305664,0.7970660146699267,0.3493975903614458,0.4264705882352941,0.3841059602649007,0.6340564084871486,0.16279069767441862,breast_cancer,targeted_flip,0.2,0.9649122807017544,123
anomaly_lof,0.9035087719298246,0.006510496139526367,0.7970660146699267,0.03614457831325301,0.04411764705882353,0.039735099337748346,0.40475677074348804,0.2558139534883721,breast_cancer,targeted_flip,0.2,0.9649122807017544,123
roni,0.868421052631579,0.06261277198791504,0.6210268948655256,0.14838709677419354,0.3382352941176471,0.2062780269058296,0.47556925996204935,0.3488372093023256,breast_cancer,targeted_flip,0.2,0.9649122807017544,123
trimmed_loss,0.9122807017543859,0.014505863189697266,0.7995110024449877,0.5365853658536586,0.6470588235294118,0.5866666666666667,0.767810936691392,0.23255813953488372,breast_cancer,targeted_flip,0.2,0.9649122807017544,123
hybrid,0.9385964912280702,0.24876070022583008,0.6332518337408313,0.2866666666666667,0.6323529411764706,0.3944954128440367,0.6592849749870623,0.16279069767441862,breast_cancer,targeted_flip,0.2,0.9649122807017544,123
none,0.8947368421052632,0.0033655166625976562,1.0,0.0,0.0,0.0,0.5,0.27906976744186046,breast_cancer,targeted_flip,0.2,0.9824561403508771,2024
